dolares,capital,capital_pesos,ciiu,Vencido,Días vencido,tipo_operacion,tasa_interes,plazo,output_1,ciiu_emb1,ciiu_emb2,plazo_emb1,plazo_emb2
1,25000.0,775200.0,34200,0,0,1,6.4,3,0,0.046759028,-0.89071375,1.1681741,0.7304368
1,80000.0,2480640.0,36100,1,53,1,5.0,3,1,0.3362454,0.5756545,1.1681741,0.7304368
1,35675.0,1106210.4,1211,0,0,2,5.699,5,0,-0.8034214,0.115811124,-0.14429104,0.9848039
1,30000.0,930240.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,27000.0,837216.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,23000.0,713184.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,26000.0,806208.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,24000.0,744192.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,25000.0,775200.0,29300,0,0,1,6.5,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,20000.0,620160.0,29300,0,0,1,6.4,3,0,-0.069583565,0.84571373,1.1681741,0.7304368
1,9000.0,279072.0,29300,0,0,1,6.5,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,6789.34,210523.85472,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,5304.12,164470.15296,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,2566.08,79569.00864,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,40000.0,1240320.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,465120.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,465120.0,24230,0,0,1,5.9,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,57000.0,1767456.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,23000.0,713184.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,74000.0,2389978.0,71110,0,0,1,7.0,3,0,-0.7509599,0.6434941,1.1681741,0.7304368
1,50000.0,1614850.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,20000.0,645940.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,16766.29,541500.86813,51430,0,0,2,7.5,4,0,0.8529021,1.0706525,-0.23936123,0.14529034
1,31000.0,1001207.0,52310,0,0,1,5.8,3,0,1.3962417,-0.13528237,1.1681741,0.7304368
1,20000.0,645940.0,72900,0,0,1,8.0,3,0,-0.9066446,1.394121,1.1681741,0.7304368
1,80000.0,2583760.0,51211,0,0,1,6.0,3,0,-0.24880093,0.45012644,1.1681741,0.7304368
1,75000.0,2422275.0,50300,1,4,1,8.0,2,0,0.041681875,0.19871044,0.04101171,0.36117008
1,5000.0,161485.0,51490,0,0,1,5.9,1,0,0.55587935,-0.3071757,-0.822244,0.017446453
1,20000.0,645940.0,51502,0,0,1,6.4,3,0,0.9997455,-0.37260506,1.1681741,0.7304368
1,6983.33,225540.60901,51502,0,0,2,7.8,4,0,0.9997455,-0.37260506,-0.23936123,0.14529034
1,14500.0,468306.5,51390,0,0,1,8.0,2,0,0.4813622,-0.86792165,0.04101171,0.36117008
1,13000.0,419861.0,51390,0,0,1,8.0,2,0,0.4813622,-0.86792165,0.04101171,0.36117008
1,80000.0,2583760.0,75230,0,0,1,6.0,3,0,-0.15355697,0.1140225,1.1681741,0.7304368
1,35000.0,1130395.0,32100,0,0,1,5.5,2,0,-0.97431225,0.76103,0.04101171,0.36117008
1,33468.75,1080940.21875,32100,0,0,2,5.813,6,0,-0.97431225,0.76103,0.03569989,0.686754
0,2019000.0,2019000.0,51900,1,48,1,19.5,3,1,0.8072708,-0.23176387,1.1681741,0.7304368
0,400000.0,400000.0,51900,1,5,1,19.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,38000.0,1227286.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,16900.0,545819.3,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,11000.0,355267.0,51900,1,12,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,31913.13,1030698.35961,90000,1,33,2,6.5,5,1,-0.26089063,0.19164342,-0.14429104,0.9848039
1,39375.0,1271694.375,1401,0,0,2,5.1,6,0,0.1894225,-0.32241976,0.03569989,0.686754
1,22960.0,741539.12,1401,0,0,2,5.1,5,0,0.1894225,-0.32241976,-0.14429104,0.9848039
1,20000.0,645940.0,25110,0,0,1,6.0,3,0,0.09737022,0.30261186,1.1681741,0.7304368
1,26300.0,849411.1,60220,0,0,2,5.23,6,0,0.30126727,0.16430633,0.03569989,0.686754
1,68100.0,2199425.7,60230,0,0,1,6.0,3,0,0.22463928,-0.4531752,1.1681741,0.7304368
1,25000.0,807425.0,34200,0,0,1,6.4,3,0,0.046759028,-0.89071375,1.1681741,0.7304368
1,80000.0,2583760.0,36100,0,0,1,5.0,3,0,0.3362454,0.5756545,1.1681741,0.7304368
1,35675.0,1152195.475,1211,0,0,2,5.699,5,0,-0.8034214,0.115811124,-0.14429104,0.9848039
1,30000.0,968910.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,27000.0,872019.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,23000.0,742831.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,26000.0,839722.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,24000.0,775128.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,30000.0,968910.0,29300,0,0,1,6.4,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,20000.0,645940.0,29300,0,0,1,6.4,3,0,-0.069583565,0.84571373,1.1681741,0.7304368
1,5445.69,175879.44993,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,5304.12,171307.16364,29300,1,6,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,1286.42,41547.50674,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,40000.0,1291880.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,484455.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,484455.0,24230,0,0,1,5.9,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,57000.0,1840929.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,23000.0,742831.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,20000.0,645940.0,93090,0,0,1,8.0,3,0,-0.09393495,0.6802091,1.1681741,0.7304368
1,10000.0,322970.0,93090,0,0,1,8.0,3,0,-0.09393495,0.6802091,1.1681741,0.7304368
1,74000.0,2347132.0,71110,0,0,1,7.0,3,0,-0.7509599,0.6434941,1.1681741,0.7304368
1,50000.0,1585900.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,20000.0,634360.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,15134.76,480044.31768,51430,0,0,2,7.5,4,0,0.8529021,1.0706525,-0.23936123,0.14529034
1,31000.0,983258.0,52310,0,0,1,5.8,3,0,1.3962417,-0.13528237,1.1681741,0.7304368
1,20000.0,634360.0,72900,0,0,1,8.0,3,0,-0.9066446,1.394121,1.1681741,0.7304368
1,80000.0,2537440.0,51211,0,0,1,6.0,3,0,-0.24880093,0.45012644,1.1681741,0.7304368
1,75000.0,2378850.0,50300,0,0,1,8.0,2,0,0.041681875,0.19871044,0.04101171,0.36117008
1,20000.0,634360.0,51502,0,0,1,6.4,3,0,0.9997455,-0.37260506,1.1681741,0.7304368
1,4216.21,133729.74878,51502,0,0,2,7.8,4,0,0.9997455,-0.37260506,-0.23936123,0.14529034
1,14500.0,459911.0,51390,1,10,1,8.0,2,0,0.4813622,-0.86792165,0.04101171,0.36117008
1,13000.0,412334.0,51390,0,0,1,8.0,2,0,0.4813622,-0.86792165,0.04101171,0.36117008
1,80000.0,2537440.0,75230,0,0,1,6.0,3,0,-0.15355697,0.1140225,1.1681741,0.7304368
1,35000.0,1110130.0,32100,0,0,1,5.5,2,0,-0.97431225,0.76103,0.04101171,0.36117008
1,33468.75,1061561.8125,32100,0,0,2,5.813,6,0,-0.97431225,0.76103,0.03569989,0.686754
0,2019000.0,2019000.0,51900,0,0,1,18.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
0,400000.0,400000.0,51900,0,0,1,18.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,38000.0,1205284.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,16900.0,536034.2,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,11000.0,348898.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,21386.87,678348.74266,90000,1,4,2,6.5,5,0,-0.26089063,0.19164342,-0.14429104,0.9848039
1,39375.0,1248896.25,1401,0,0,2,5.1,6,0,0.1894225,-0.32241976,0.03569989,0.686754
1,22960.0,728245.28,1401,0,0,2,5.1,5,0,0.1894225,-0.32241976,-0.14429104,0.9848039
1,20000.0,634360.0,25110,0,0,1,6.0,3,0,0.09737022,0.30261186,1.1681741,0.7304368
1,26300.0,834183.4,60220,0,0,2,5.23,6,0,0.30126727,0.16430633,0.03569989,0.686754
1,68100.0,2159995.8,60230,0,0,1,6.0,3,0,0.22463928,-0.4531752,1.1681741,0.7304368
1,25000.0,792950.0,34200,0,0,1,6.4,3,0,0.046759028,-0.89071375,1.1681741,0.7304368
1,80000.0,2537440.0,36100,0,0,1,5.0,3,0,0.3362454,0.5756545,1.1681741,0.7304368
1,35675.0,1131539.65,1211,0,0,2,5.699,5,0,-0.8034214,0.115811124,-0.14429104,0.9848039
1,57000.0,1807926.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,23000.0,729514.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,26000.0,824668.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,24000.0,761232.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,30000.0,951540.0,29300,0,0,1,6.4,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,20000.0,634360.0,29300,0,0,1,6.4,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,4094.97,129884.25846,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,3199.14,101470.32252,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,38000.0,1205284.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,475770.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,475770.0,24230,0,0,1,5.9,3,0,1.3851802,1.4488579,1.1681741,0.7304368
